id	name	direction	client_sends	server_sends	status	recv_impl	send_impl	evidence	tests
124	TEHatRackItemSync	both	yes	yes	live	dispatched	generic-relay	relayed via packets::rewrite_owner/verbatim at server.rs:9833; server.rs handle_packet dispatches it to a dedicated handler	none
125	SyncTilePicking	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
126	SyncRevengeMarker	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
127	RemoveRevengeMarker	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
128	LandGolfBallInCup	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
129	FinishedConnectingToServer	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia/src/game/server.rs:4407	integration test in terrustia/tests/handshake.rs
130	FishOutNPC	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/gameplay.rs
131	TamperWithNPC	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
132	PlayLegacySound	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
133	FoodPlatterTryPlacing	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	none
134	UpdatePlayerLuckFactors	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
135	DeadPlayer	both	yes	yes	live	ignored	none	deliberately not dispatched (game/server/dispatch.rs:130-133): vanilla's own case 135 is `if (Main.netMode == 1)`, a client-only immuneAlpha fade, so a dedicated server drops an incoming one exactly like vanilla does. Real gap: vanilla's SyncOnePlayer (NetMessage.cs:2933-2936) also sends this server-to-client when statLife<=0 during a player sync, so newly joined/resyncing observers see an already-dead peer's fade cue; this server never sends it, so that one cosmetic cue is missing. Not implemented, disclosed here rather than papered over.	none
136	SyncCavernMonsterType	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia/src/game/server.rs:4424	none
137	RequestNPCBuffRemoval	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	none
138	ClientSyncedInventory	server->client	no	yes	not-applicable-dedicated	none	none	The decompiled-tree audit (tools/packet_audit.py's NetMode==1 client-send heuristic) classifies it server-to-client only. Server-side-character mode, which terrustia does not implement (ServerSideCharacter stays 0 in packet 7's flag block).	none
139	SetCountsAsHostForGameplay	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia-proto/src/packets.rs:272	round-trip unit test in terrustia-proto/src/packets.rs
140	SetMiscEventValues	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	none
141	RequestLucyPopup	both	yes	yes	live	dispatched	generic-relay	relayed via packets::rewrite_owner/verbatim at server.rs:5834; server.rs handle_packet dispatches it to a dedicated handler	none
142	SyncProjectileTrackers	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
143	CrystalInvasionRequestedToSkipWaitTime	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	none
144	RequestQuestEffect	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia/src/game/server.rs:6166; server.rs handle_packet dispatches it to a dedicated handler	none
145	SyncItemsWithShimmerDeprecated	none	no	no	deprecated	none	none	Deprecated by name (SyncItemsWithShimmerDeprecated), no [Old] attribute needed. No case at all for 145 in either NetMessage.cs SendData or MessageBuffer.cs GetData: fully removed from both switches, superseded mechanism.	none
146	ShimmerActions	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia/src/game/server.rs:2759	integration test in terrustia/tests/gameplay.rs
147	SyncLoadout	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
148	SyncItemCannotBeTakenByEnemiesDeprecated	none	no	no	deprecated	none	none	Deprecated by name (SyncItemCannotBeTakenByEnemiesDeprecated). No case at all for 148 in either NetMessage.cs SendData or MessageBuffer.cs GetData: fully removed from both switches, superseded mechanism.	none
149	DeadCellsDisplayJarTryPlacing	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	none
150	SpectatePlayer	server->client	no	yes	social-host-only	none	none	The decompiled-tree audit (tools/packet_audit.py's NetMode==1 client-send heuristic) classifies it server-to-client only. Host migration (Steam/local multiplayer); not applicable to a dedicated server.	none
151	SyncItemDespawn	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/items.rs:171; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/items.rs
152	ItemUseSound	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
153	NPCDebuffDamage	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia-proto/src/packets.rs:1490	round-trip unit test in terrustia-proto/src/packets.rs; integration test in terrustia/tests/gameplay.rs
154	Ping	both	yes	yes	live	dispatched	dedicated-encoder	echoed back to the sender alone via packets::empty(id::PING) at game/server/dispatch.rs:193 (MessageBuffer.cs:4445-4452's TrySendData(154, whoAmI)); not a relay to other clients, table was stale since the Lane A server.rs split	integration test in terrustia/tests/gameplay.rs
155	SyncChestSize	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia-proto/src/objects.rs:64	round-trip unit test in terrustia-proto/src/objects.rs; integration test in terrustia/tests/gameplay.rs; integration test in terrustia/tests/handshake.rs
156	TELeashedEntityAnchorPlaceItem	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	none
157	TeamChangeFromUI	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	none
158	ExtraSpawnSectionLoaded	server->client	no	yes	client-bookkeeping	none	none	The decompiled-tree audit (tools/packet_audit.py's NetMode==1 client-send heuristic) classifies it server-to-client only. Client-side bookkeeping for extra spawn-point sections; not received or sent by terrustia.	none
159	RequestSection	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/handshake.rs
160	ItemPosition	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia/src/game/server.rs:2660	none
161	HostToken	server->client	no	yes	social-host-only	none	none	The decompiled-tree audit (tools/packet_audit.py's NetMode==1 client-send heuristic) classifies it server-to-client only. Host migration token; not applicable to a dedicated server.	none
162	DamageNPCAck	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia-proto/src/npc.rs:256	round-trip unit test in terrustia-proto/src/npc.rs
